option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_75%	gd_max	md_mean	md_min	md_25%	md_75%	md_max
2	0.22	0.67	96	627	212882	96.0	62.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	5.0	16.333333333333332	1.0	1.0	8.75	82.0	38.16494845360825	3.0	8.0	33.0	432.0
2	0.22	0.68	111	597	192979	111.0	65.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	7.0	18.5	1.0	1.0	7.75	97.0	35.535714285714285	3.0	8.75	37.75	421.0
2	0.22	0.69	109	614	204890	109.0	64.0	14.0	2.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	6.0	18.333333333333332	1.0	1.0	8.5	95.0	37.77272727272727	3.0	9.0	38.0	430.0
2	0.22	0.7	114	560	170911	114.0	65.0	14.0	4.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	5.0	19.666666666666668	1.0	1.0	8.25	102.0	35.25217391304348	3.0	9.0	34.5	436.0
2	0.22	0.71	109	521	152144	109.0	60.0	14.0	5.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	5.0	21.8	1.0	1.0	13.0	93.0	30.681818181818183	3.0	8.0	28.75	471.0
2	0.22	0.72	109	433	111346	109.0	59.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	5.0	27.25	1.0	1.0	29.75	101.0	32.31818181818182	3.0	7.25	34.5	503.0
2	0.22	0.73	105	404	108953	105.0	62.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	15.714285714285714	1.0	1.0	6.5	93.0	29.72641509433962	3.0	7.0	21.0	494.0
2	0.22	0.74	109	209	56495	109.0	63.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	8.0	27.25	1.0	1.0	27.25	106.0	24.1	3.0	6.0	17.75	543.0
2	0.23	0.65	87	748	292826	87.0	61.0	14.0	4.0	12.0	5.0	1.0	0.0	3.0	3.0	16.0	10.0	14.5	1.0	1.0	8.5	72.0	46.05681818181818	3.0	10.75	41.5	522.0
2	0.23	0.66	81	735	281364	81.0	58.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	3.0	16.0	8.0	16.2	1.0	1.0	10.0	67.0	45.146341463414636	4.0	11.0	40.75	528.0
2	0.23	0.67	90	549	178814	90.0	54.0	14.0	3.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	0.0	18.0	1.0	1.0	6.0	81.0	34.42857142857143	3.0	8.0	32.0	459.0
2	0.23	0.68	92	644	223747	92.0	60.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	7.0	13.428571428571429	1.0	1.0	4.5	81.0	42.236559139784944	4.0	9.0	36.0	486.0
2	0.23	0.69	95	572	186698	95.0	63.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	9.0	16.0	1.0	1.0	5.25	84.0	41.385416666666664	4.0	9.0	36.0	446.0
2	0.23	0.7	97	554	183425	97.0	61.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	4.0	12.5	1.0	1.0	3.25	86.0	41.755102040816325	4.0	8.25	38.0	451.0
2	0.23	0.71	95	439	114836	95.0	61.0	14.0	2.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	5.0	23.75	1.0	1.0	25.75	88.0	32.520833333333336	4.0	8.0	28.25	518.0
2	0.23	0.72	97	438	111354	97.0	58.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	7.0	24.25	1.0	1.0	25.75	91.0	31.051020408163264	4.0	7.0	28.75	514.0
2	0.23	0.73	108	410	102621	108.0	60.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	9.0	18.333333333333332	1.0	1.0	5.0	99.0	33.22935779816514	4.0	7.0	31.0	531.0
2	0.23	0.74	114	235	52789	114.0	61.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	8.0	28.75	1.0	1.0	28.75	112.0	23.704347826086956	3.0	7.0	17.5	550.0
2	0.24	0.65	54	774	306829	54.0	52.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	27.0	13.0	20.0	34.0	41.0	44.50909090909091	4.0	10.0	37.5	518.0
2	0.24	0.66	63	751	291618	63.0	57.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	11.333333333333334	1.0	1.5	8.0	49.0	52.03125	4.0	10.0	51.75	560.0
2	0.24	0.67	62	674	235092	62.0	59.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	20.666666666666668	1.0	5.5	30.5	51.0	38.20634920634921	4.0	8.0	32.5	468.0
2	0.24	0.68	65	595	197714	65.0	56.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	16.25	1.0	1.0	20.25	54.0	43.54545454545455	4.0	8.0	37.75	470.0
2	0.24	0.69	69	561	188509	69.0	58.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	14.0	1.0	1.0	9.0	57.0	43.18571428571428	4.0	8.0	34.5	476.0
2	0.24	0.7	62	511	148830	62.0	57.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	15.75	1.0	1.0	17.75	56.0	44.285714285714285	4.0	8.0	32.5	506.0
2	0.24	0.71	75	475	128453	75.0	56.0	14.0	2.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	0.0	15.0	1.0	1.0	7.0	65.0	34.3421052631579	4.0	8.0	36.0	529.0
2	0.24	0.72	73	490	133316	73.0	59.0	14.0	3.0	12.0	0.0	1.0	0.0	3.0	2.0	16.0	0.0	18.25	1.0	1.0	21.75	63.0	33.432432432432435	4.0	7.0	32.5	546.0
2	0.24	0.73	80	269	57956	80.0	57.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	20.0	1.0	1.0	20.0	77.0	27.65432098765432	4.0	6.0	15.0	613.0
2	0.24	0.74	77	274	57966	77.0	55.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	25.666666666666668	1.0	1.0	38.0	75.0	24.192307692307693	3.0	6.0	15.0	623.0
