option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_50%	gd_75%	gd_max	md_mean	md_min	md_25%	md_50%	md_75%	md_max
4	0.01	0.39	266.0	1556.0	1238688.0	266.0	42.0	14.0	0.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	7.0	5.537037037037037	1.0	2.0	4.0	7.0	39.0	13.578947368421053	1.0	2.0	2.0	2.0	415.0
4	0.01	0.4	262.0	1590.0	1274721.0	262.0	29.0	14.0	0.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	9.0	5.509433962264151	1.0	2.0	4.0	7.0	37.0	13.242307692307692	1.0	2.0	2.0	2.0	402.0
4	0.01	0.41	414.0	1585.0	1261725.0	414.0	35.0	14.0	0.0	12.0	9.0	1.0	0.0	3.0	0.0	16.0	4.0	3.8983050847457625	1.0	1.0	1.0	4.0	52.0	8.87560975609756	1.0	2.0	2.0	3.0	341.0
4	0.01	0.42	416.0	1615.0	1303860.0	416.0	43.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	4.0	3.721311475409836	1.0	1.0	1.0	4.0	53.0	9.515738498789347	1.0	2.0	2.0	3.0	286.0
4	0.01	0.43	502.0	1576.0	1246953.0	502.0	52.0	14.0	0.0	12.0	4.0	1.0	0.0	3.0	3.0	16.0	11.0	3.3823529411764706	1.0	1.0	1.0	3.0	69.0	7.957661290322581	1.0	2.0	2.0	3.0	479.0
4	0.01	0.44	518.0	1491.0	1164969.0	518.0	48.0	14.0	0.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	9.0	3.2960893854748603	1.0	1.0	1.0	3.0	72.0	7.970873786407767	1.0	2.0	2.0	3.0	457.0
4	0.01	0.45	571.0	1563.0	1235232.0	571.0	56.0	14.0	0.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	2.0	3.1435406698564594	1.0	1.0	1.0	3.0	74.0	7.619217081850533	1.0	2.0	2.0	4.0	463.0
4	0.01	0.46	613.0	1570.0	1233676.0	613.0	55.0	14.0	5.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	10.0	3.087719298245614	1.0	1.0	1.0	2.0	87.0	6.786885245901639	1.0	2.0	2.0	4.0	465.0
4	0.01	0.47	693.0	1445.0	1094991.0	693.0	61.0	14.0	5.0	12.0	2.0	1.0	0.0	3.0	3.0	16.0	10.0	2.7282229965156795	1.0	1.0	1.0	2.0	99.0	7.253644314868804	1.0	2.0	2.0	4.0	452.0
4	0.01	0.48	726.0	1516.0	1155437.0	726.0	63.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	12.0	2.6385135135135136	1.0	1.0	1.0	2.0	112.0	6.359832635983263	1.0	2.0	2.0	4.0	447.0
4	0.01	0.49	773.0	1522.0	1161703.0	773.0	74.0	14.0	6.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	2.0	2.56047197640118	1.0	1.0	1.0	2.0	112.0	6.125984251968504	1.0	2.0	3.0	5.0	442.0
4	0.02	0.3	9.0	1661.0	1379599.0	9.0	20.0	14.0	0.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	8.0	1.5	1.0	1.0	1.5	2.0	2.0	239.0	41.0	63.0	148.0	210.0	922.0
